,timestamp,bid,ask,bid_vol,ask_vol,date,Volume,Price,MidPrice,Spread,SpreadCm,TickRule,ObservedPrice,VWAP,Instrument
1125,2019-01-03 13:38:17.019,132.639,132.683,17,150,2019-01-03,5219893,132.67852095808382,132.661,0.04399999999998272,65.11199999999886,6,132.94252095808372,132.5731361122645,Facebook
1147,2019-01-03 13:42:44.228,132.847,132.912,10700,7500,2019-01-03,5220596,132.87378571428573,132.8795,0.06499999999999773,69.50399999999942,50,136.12378571428562,132.68400607391155,Facebook
1135,2019-01-03 13:48:35.869,132.718,132.748,160,7500,2019-01-03,5220884,132.7473733681462,132.733,0.030000000000001137,68.77899999999997,26,133.52737336814624,132.86536426350494,Facebook
1120,2019-01-03 13:54:27.510,132.287,132.361,10200,7500,2019-01-03,5221683,132.3183559322034,132.324,0.07399999999998386,63.136999999999716,-19,130.9123559322037,132.47600320911397,Facebook
1089,2019-01-03 13:59:25.562,132.079,132.143,17,77,2019-01-03,5225183,132.1314255319149,132.111,0.06399999999999295,67.59099999999916,-56,128.5474255319153,132.26719133790303,Facebook
1157,2019-01-03 14:04:07.264,131.948,131.972,100,7500,2019-01-03,5217970,131.97168421052635,131.96,0.02400000000000091,72.26300000000049,-28,131.29968421052632,132.06914561499622,Facebook
1244,2019-01-03 14:08:40.261,131.978,132.022,260,7500,2019-01-03,5222039,132.02052577319586,132.0,0.04399999999998272,72.0050000000005,17,132.76852577319556,131.95355033325583,Facebook
1254,2019-01-03 14:14:22.181,131.998,132.062,10100,600,2019-01-03,5225043,132.00158878504672,132.03,0.06400000000002137,72.34099999999964,25,133.60158878504726,131.94078604441094,Facebook
1224,2019-01-03 14:19:05.675,132.03,132.082,17,150,2019-01-03,5225022,132.07670658682633,132.05599999999998,0.0519999999999925,73.50499999999874,-11,131.50470658682642,132.0019537420356,Facebook
1193,2019-01-03 14:32:53.755,132.158,132.232,200,900,2019-01-03,5225135,132.21854545454545,132.195,0.07400000000001228,70.15199999999882,2,132.36654545454547,132.3256478305063,Facebook
1138,2019-01-03 14:37:19.035,132.197,132.233,17,7650,2019-01-03,5225244,132.23292017738362,132.215,0.036000000000001364,60.7729999999996,-3,132.12492017738361,132.33412271338582,Facebook
1134,2019-01-03 14:42:25.140,132.102,132.163,10000,7500,2019-01-03,5213406,132.12814285714285,132.1325,0.06100000000000705,60.34599999999986,15,133.04314285714295,132.18261752261017,Facebook
1233,2019-01-03 14:48:33.397,131.787,131.843,260,450,2019-01-03,5217377,131.82249295774648,131.815,0.055999999999983174,68.45300000000029,46,134.3984929577457,131.9883676651493,Facebook
1121,2019-01-03 14:53:45.607,131.848,131.902,10,7960,2019-01-03,5214051,131.90193224592218,131.875,0.053999999999973625,63.32499999999999,2,132.00993224592213,131.88284542325013,Facebook
1077,2019-01-03 14:57:35.244,131.538,131.582,10100,7570,2019-01-03,5217853,131.55685002829654,131.56,0.04399999999998272,56.16600000000102,-36,129.97285002829716,131.69384743547906,Facebook
1263,2019-01-03 15:03:29.410,131.588,131.652,200,670,2019-01-03,5215292,131.63728735632185,131.62,0.06399999999999295,65.0980000000009,12,132.40528735632176,131.64636887975337,Facebook
